# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	17486	18187	-	WP_159406401.1	WP_159406401.1		2OG-Fe(II) oxygenase			EBN15_RS00080	702	233	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	18409	19749	-							EBN15_RS00085	1341		old_locus_tag=EBN15_00090
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	18409	19749	-	WP_159406402.1	WP_159406402.1		outer membrane protein transport protein			EBN15_RS00085	1341	446	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	19966	20658	+							EBN15_RS00090	693		old_locus_tag=EBN15_00095
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	19966	20658	+	WP_104603315.1	WP_104603315.1		rhomboid family intramembrane serine protease			EBN15_RS00090	693	230	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	20730	21050	+							EBN15_RS00095	321		old_locus_tag=EBN15_00100
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	20730	21050	+	WP_064507842.1	WP_064507842.1		DUF1820 family protein			EBN15_RS00095	321	106	
gene	pseudogene	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	21172	21387	+							EBN15_RS00100	216		partial;pseudo;old_locus_tag=EBN15_00105
CDS	without_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	21172	21387	+				D-2-hydroxyacid dehydrogenase family protein			EBN15_RS00100	216		partial;pseudo
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	21408	22892	-							EBN15_RS00105	1485		old_locus_tag=EBN15_00110
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	21408	22892	-	WP_167526787.1	WP_167526787.1		S41 family peptidase			EBN15_RS00105	1485	494	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	23207	24505	-							EBN15_RS00110	1299		old_locus_tag=EBN15_00115
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	23207	24505	-	WP_208800433.1	WP_208800433.1		peptidoglycan DD-metalloendopeptidase family protein			EBN15_RS00110	1299	432	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	24603	25259	+							EBN15_RS00115	657		old_locus_tag=EBN15_00120
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	24603	25259	+	WP_159406403.1	WP_159406403.1		hypothetical protein			EBN15_RS00115	657	218	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	25315	27126	+							EBN15_RS00120	1812		old_locus_tag=EBN15_00125
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	25315	27126	+	WP_159406404.1	WP_159406404.1		M28 family metallopeptidase			EBN15_RS00120	1812	603	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	27245	28324	-							EBN15_RS00125	1080		old_locus_tag=EBN15_00130
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	27245	28324	-	WP_159406405.1	WP_159406405.1		glycoside hydrolase family 5 protein			EBN15_RS00125	1080	359	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	28696	29754	-							EBN15_RS00130	1059		old_locus_tag=EBN15_00135
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	28696	29754	-	WP_159406406.1	WP_159406406.1		glycoside hydrolase family 5 protein			EBN15_RS00130	1059	352	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	29966	31039	-							EBN15_RS00135	1074		old_locus_tag=EBN15_00140
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	29966	31039	-	WP_159406407.1	WP_159406407.1		glycoside hydrolase family 5 protein			EBN15_RS00135	1074	357	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	31356	32411	+							EBN15_RS00140	1056		old_locus_tag=EBN15_00150
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	31356	32411	+	WP_104603323.1	WP_104603323.1		NAD(P)-dependent alcohol dehydrogenase			EBN15_RS00140	1056	351	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	32608	34089	-							EBN15_RS00145	1482		old_locus_tag=EBN15_00155
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	32608	34089	-	WP_104603324.1	WP_104603324.1		FAD-dependent oxidoreductase			EBN15_RS00145	1482	493	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	34218	38690	-					gltB		EBN15_RS00150	4473		old_locus_tag=EBN15_00160
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	34218	38690	-	WP_104603325.1	WP_104603325.1		glutamate synthase large subunit	gltB		EBN15_RS00150	4473	1490	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	38893	39273	-							EBN15_RS00155	381		old_locus_tag=EBN15_00165
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	38893	39273	-	WP_104603326.1	WP_104603326.1		Elastase inhibitor AFLEI Flags: Precursor			EBN15_RS00155	381	126	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	39330	40601	+							EBN15_RS00160	1272		old_locus_tag=EBN15_00170
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	39330	40601	+	WP_208800434.1	WP_208800434.1		DNA topoisomerase IB			EBN15_RS00160	1272	423	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	40682	41026	-							EBN15_RS00165	345		old_locus_tag=EBN15_00175
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	40682	41026	-	WP_104603329.1	WP_104603329.1		hypothetical protein			EBN15_RS00165	345	114	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	41346	42320	-							EBN15_RS00170	975		old_locus_tag=EBN15_00180
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	41346	42320	-	WP_159406408.1	WP_159406408.1		integron integrase			EBN15_RS00170	975	324	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	43219	43872	+							EBN15_RS00180	654		old_locus_tag=EBN15_00195
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	43219	43872	+	WP_159406409.1	WP_159406409.1		hypothetical protein			EBN15_RS00180	654	217	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	44293	44766	+							EBN15_RS00190	474		old_locus_tag=EBN15_00205
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	44293	44766	+	WP_139015168.1	WP_139015168.1		hypothetical protein			EBN15_RS00190	474	157	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	44846	45172	+							EBN15_RS00195	327		old_locus_tag=EBN15_00210
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	44846	45172	+	WP_159406410.1	WP_159406410.1		hypothetical protein			EBN15_RS00195	327	108	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	45256	46641	-							EBN15_RS00200	1386		old_locus_tag=EBN15_00215
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	45256	46641	-	WP_223214363.1	WP_223214363.1		IS701 family transposase			EBN15_RS00200	1386	461	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	47261	47506	+							EBN15_RS00210	246		old_locus_tag=EBN15_00225
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	47261	47506	+	WP_104603333.1	WP_104603333.1		hypothetical protein			EBN15_RS00210	246	81	
gene	pseudogene	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	47565	48530	+							EBN15_RS00215	966		partial;pseudo;old_locus_tag=EBN15_00230
CDS	without_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	47565	48530	+				IS701 family transposase			EBN15_RS00215	966		partial;pseudo
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	48548	49666	-							EBN15_RS00220	1119		old_locus_tag=EBN15_00235
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	48548	49666	-	WP_159406412.1	WP_159406412.1		ISL3 family transposase			EBN15_RS00220	1119	372	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	49826	50344	+							EBN15_RS00225	519		old_locus_tag=EBN15_00240
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	49826	50344	+	WP_223214480.1	WP_223214480.1		transposase			EBN15_RS00225	519	172	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	50475	50759	+							EBN15_RS00230	285		old_locus_tag=EBN15_00245
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	50475	50759	+	WP_104603334.1	WP_104603334.1		hypothetical protein			EBN15_RS00230	285	94	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	50865	51395	+							EBN15_RS00235	531		old_locus_tag=EBN15_00250
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	50865	51395	+	WP_104603335.1	WP_104603335.1		hypothetical protein			EBN15_RS00235	531	176	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	51668	52804	+							EBN15_RS00240	1137		old_locus_tag=EBN15_00255
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	51668	52804	+	WP_104603361.1	WP_104603361.1		saccharopine dehydrogenase NADP-binding domain-containing protein			EBN15_RS00240	1137	378	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	52951	53367	-							EBN15_RS00245	417		old_locus_tag=EBN15_00260
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	52951	53367	-	WP_167526789.1	WP_167526789.1		MarR family transcriptional regulator			EBN15_RS00245	417	138	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	53547	54149	+					folE		EBN15_RS00250	603		old_locus_tag=EBN15_00265
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	53547	54149	+	WP_104603337.1	WP_104603337.1		GTP cyclohydrolase I FolE	folE		EBN15_RS00250	603	200	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	54169	55638	+							EBN15_RS00255	1470		old_locus_tag=EBN15_00270
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	54169	55638	+	WP_159406413.1	WP_159406413.1		DUF3375 domain-containing protein			EBN15_RS00255	1470	489	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	55625	56329	+							EBN15_RS00260	705		old_locus_tag=EBN15_00275
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	55625	56329	+	WP_159406414.1	WP_159406414.1		DUF4194 domain-containing protein			EBN15_RS00260	705	234	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	56873	60901	+							EBN15_RS00265	4029		old_locus_tag=EBN15_00280
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	56873	60901	+	WP_159406415.1	WP_159406415.1		ATP-binding protein			EBN15_RS00265	4029	1342	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	60980	61798	-							EBN15_RS00270	819		old_locus_tag=EBN15_00285
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	60980	61798	-	WP_104603341.1	WP_104603341.1		TSUP family transporter			EBN15_RS00270	819	272	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	61845	62234	+							EBN15_RS00275	390		old_locus_tag=EBN15_00290
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	61845	62234	+	WP_159406416.1	WP_159406416.1		YchJ family protein			EBN15_RS00275	390	129	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	62459	62665	+							EBN15_RS00280	207		old_locus_tag=EBN15_00295
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	62459	62665	+	WP_159406417.1	WP_159406417.1		hypothetical protein			EBN15_RS00280	207	68	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	63013	64548	+					rmuC		EBN15_RS00285	1536		old_locus_tag=EBN15_00300
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	63013	64548	+	WP_208800555.1	WP_208800555.1		DNA recombination protein RmuC	rmuC		EBN15_RS00285	1536	511	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	65129	65680	+							EBN15_RS00290	552		old_locus_tag=EBN15_00305
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	65129	65680	+	WP_159406419.1	WP_159406419.1		glutathione peroxidase			EBN15_RS00290	552	183	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	65819	66871	-							EBN15_RS00295	1053		old_locus_tag=EBN15_00310
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	65819	66871	-	WP_104603345.1	WP_104603345.1		VacJ family lipoprotein			EBN15_RS00295	1053	350	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	66882	67169	-							EBN15_RS00300	288		old_locus_tag=EBN15_00315
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	66882	67169	-	WP_104603346.1	WP_104603346.1		STAS domain-containing protein			EBN15_RS00300	288	95	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	67159	67821	-							EBN15_RS00305	663		old_locus_tag=EBN15_00320
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	67159	67821	-	WP_159406420.1	WP_159406420.1		ABC transporter substrate-binding protein			EBN15_RS00305	663	220	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	67818	68351	-					mlaD		EBN15_RS00310	534		old_locus_tag=EBN15_00325
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	67818	68351	-	WP_159406421.1	WP_159406421.1		outer membrane lipid asymmetry maintenance protein MlaD	mlaD		EBN15_RS00310	534	177	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	68360	69109	-							EBN15_RS00315	750		old_locus_tag=EBN15_00330
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	68360	69109	-	WP_104603349.1	WP_104603349.1		MlaE family lipid ABC transporter permease subunit			EBN15_RS00315	750	249	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	69109	69903	-							EBN15_RS00320	795		old_locus_tag=EBN15_00335
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	69109	69903	-	WP_104603350.1	WP_104603350.1		ATP-binding cassette domain-containing protein			EBN15_RS00320	795	264	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	70283	70570	+							EBN15_RS00325	288		old_locus_tag=EBN15_00340
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	70283	70570	+	WP_104603351.1	WP_104603351.1		hypothetical protein			EBN15_RS00325	288	95	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	70563	71135	-							EBN15_RS00330	573		old_locus_tag=EBN15_00345
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	70563	71135	-	WP_104603352.1	WP_104603352.1		GNAT family N-acetyltransferase			EBN15_RS00330	573	190	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	71139	71675	-							EBN15_RS00335	537		old_locus_tag=EBN15_00350
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	71139	71675	-	WP_104603353.1	WP_104603353.1		tail fiber protein			EBN15_RS00335	537	178	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	71735	72262	-							EBN15_RS00340	528		old_locus_tag=EBN15_00355
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	71735	72262	-	WP_104603354.1	WP_104603354.1		tail fiber protein			EBN15_RS00340	528	175	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	72312	72857	-							EBN15_RS00345	546		old_locus_tag=EBN15_00360
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	72312	72857	-	WP_104603363.1	WP_104603363.1		tail fiber protein			EBN15_RS00345	546	181	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	73133	78490	+							EBN15_RS00350	5358		old_locus_tag=EBN15_00365
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	73133	78490	+	WP_159407891.1	WP_159407891.1		putative Ig domain-containing protein			EBN15_RS00350	5358	1785	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	78839	79267	+							EBN15_RS00355	429		
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	78839	79267	+	WP_146090321.1	WP_146090321.1		nuclear transport factor 2 family protein			EBN15_RS00355	429	142	
gene	pseudogene	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	79185	79640	+							EBN15_RS00360	456		partial;pseudo;old_locus_tag=EBN15_00370
CDS	without_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	79185	79640	+				IS5 family transposase			EBN15_RS00360	456		partial;pseudo
gene	pseudogene	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	79865	80119	+							EBN15_RS00365	255		partial;pseudo;old_locus_tag=EBN15_00375
CDS	without_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	79865	80119	+				transposase			EBN15_RS00365	255		partial;pseudo
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	80233	81195	+							EBN15_RS00370	963		old_locus_tag=EBN15_00380
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	80233	81195	+	WP_159406422.1	WP_159406422.1		IS1595 family transposase			EBN15_RS00370	963	320	
gene	pseudogene	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	81236	82330	+							EBN15_RS00375	1095		partial;pseudo;old_locus_tag=EBN15_00385
CDS	without_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	81236	82330	+				IS701 family transposase			EBN15_RS00375	1095		partial;pseudo
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	82398	85802	+					recC		EBN15_RS00380	3405		old_locus_tag=EBN15_00390
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	82398	85802	+	WP_159406424.1	WP_159406424.1		exodeoxyribonuclease V subunit gamma	recC		EBN15_RS00380	3405	1134	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	85799	89770	+					recB		EBN15_RS00385	3972		old_locus_tag=EBN15_00395
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	85799	89770	+	WP_159406425.1	WP_159406425.1		exodeoxyribonuclease V subunit beta	recB		EBN15_RS00385	3972	1323	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	89767	91953	+					recD		EBN15_RS00390	2187		old_locus_tag=EBN15_00400
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	89767	91953	+	WP_159406426.1	WP_159406426.1		exodeoxyribonuclease V subunit alpha	recD		EBN15_RS00390	2187	728	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	92051	92332	+							EBN15_RS00395	282		old_locus_tag=EBN15_00405
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	92051	92332	+	WP_104603499.1	WP_104603499.1		type II toxin-antitoxin system RelE/ParE family toxin			EBN15_RS00395	282	93	
gene	protein_coding	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	92350	92640	+							EBN15_RS00400	291		old_locus_tag=EBN15_00410
CDS	with_protein	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	92350	92640	+	WP_104603498.1	WP_104603498.1		HigA family addiction module antitoxin			EBN15_RS00400	291	96	
gene	pseudogene	GCF_009883735.1	Primary Assembly	chromosome		NZ_CP033326.1	92912	93093	-							EBN15_RS20235	182		pseudo
