# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	46589	48508	+	WP_046977495.1	WP_046977495.1		molecular chaperone DnaK	dnaK		FZ025_RS00200	1920	639	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	48660	49796	+					dnaJ		FZ025_RS00205	1137		old_locus_tag=FZ025_00205
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	48660	49796	+	WP_046977496.1	WP_046977496.1		molecular chaperone DnaJ	dnaJ		FZ025_RS00205	1137	378	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	50252	50464	+							FZ025_RS00210	213		old_locus_tag=FZ025_00210
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	50252	50464	+	WP_158185501.1	WP_158185501.1		hypothetical protein			FZ025_RS00210	213	70	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	50560	51480	+							FZ025_RS00215	921		old_locus_tag=FZ025_00215
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	50560	51480	+	WP_046977498.1	WP_046977498.1		SDR family NAD(P)-dependent oxidoreductase			FZ025_RS00215	921	306	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	51909	52175	+							FZ025_RS00220	267		old_locus_tag=FZ025_00220
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	51909	52175	+	WP_146093520.1	WP_146093520.1		hypothetical protein			FZ025_RS00220	267	88	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	52235	52792	-							FZ025_RS00225	558		old_locus_tag=FZ025_00225
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	52235	52792	-	WP_046977499.1	WP_046977499.1		NUDIX hydrolase			FZ025_RS00225	558	185	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	52963	54435	+							FZ025_RS00230	1473		old_locus_tag=FZ025_00230
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	52963	54435	+	WP_046977500.1	WP_046977500.1		amino acid permease			FZ025_RS00230	1473	490	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	54544	55980	+							FZ025_RS00235	1437		old_locus_tag=FZ025_00235
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	54544	55980	+	WP_046977501.1	WP_046977501.1		amino acid permease			FZ025_RS00235	1437	478	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	55990	56622	+							FZ025_RS00240	633		old_locus_tag=FZ025_00240
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	55990	56622	+	WP_046977502.1	WP_046977502.1		methylthioribulose 1-phosphate dehydratase			FZ025_RS00240	633	210	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	56723	57289	+							FZ025_RS00245	567		old_locus_tag=FZ025_00245
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	56723	57289	+	WP_046977503.1	WP_046977503.1		acireductone dioxygenase			FZ025_RS00245	567	188	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	57293	57991	+					mtnC		FZ025_RS00250	699		old_locus_tag=FZ025_00250
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	57293	57991	+	WP_046977504.1	WP_046977504.1		acireductone synthase	mtnC		FZ025_RS00250	699	232	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	58042	59175	+							FZ025_RS00255	1134		old_locus_tag=FZ025_00255
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	58042	59175	+	WP_046977505.1	WP_046977505.1		peptidase C13			FZ025_RS00255	1134	377	
gene	pseudogene	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	59765	61346	-							FZ025_RS00260	1582		pseudo;old_locus_tag=FZ025_00260
CDS	without_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	59765	61346	-				calcineurin-like phosphoesterase family protein			FZ025_RS00260	1582		pseudo
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	61434	62072	-					hisIE		FZ025_RS00265	639		old_locus_tag=FZ025_00265
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	61434	62072	-	WP_046977507.1	WP_046977507.1		bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	hisIE		FZ025_RS00265	639	212	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	62062	62838	-					hisF		FZ025_RS00270	777		old_locus_tag=FZ025_00270
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	62062	62838	-	WP_046977508.1	WP_046977508.1		imidazole glycerol phosphate synthase subunit HisF	hisF		FZ025_RS00270	777	258	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	62832	63566	-					hisA		FZ025_RS00275	735		old_locus_tag=FZ025_00275
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	62832	63566	-	WP_046977509.1	WP_046977509.1		1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	hisA		FZ025_RS00275	735	244	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	63563	64165	-					hisH		FZ025_RS00280	603		old_locus_tag=FZ025_00280
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	63563	64165	-	WP_046977510.1	WP_046977510.1		imidazole glycerol phosphate synthase subunit HisH	hisH		FZ025_RS00280	603	200	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	64194	65321	-					hisB		FZ025_RS00285	1128		old_locus_tag=FZ025_00285
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	64194	65321	-	WP_046977511.1	WP_046977511.1		bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	hisB		FZ025_RS00285	1128	375	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	65318	66427	-					hisC		FZ025_RS00290	1110		old_locus_tag=FZ025_00290
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	65318	66427	-	WP_046977512.1	WP_046977512.1		histidinol-phosphate transaminase	hisC		FZ025_RS00290	1110	369	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	66424	67719	-					hisD		FZ025_RS00295	1296		old_locus_tag=FZ025_00295
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	66424	67719	-	WP_104558322.1	WP_104558322.1		histidinol dehydrogenase	hisD		FZ025_RS00295	1296	431	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	67716	68630	-					hisG		FZ025_RS00300	915		old_locus_tag=FZ025_00300
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	67716	68630	-	WP_046981754.1	WP_046981754.1		ATP phosphoribosyltransferase	hisG		FZ025_RS00300	915	304	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	68640	68966	-							FZ025_RS00305	327		old_locus_tag=FZ025_00305
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	68640	68966	-	WP_046981755.1	WP_046981755.1		YerC/YecD family TrpR-related protein			FZ025_RS00305	327	108	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	69147	70571	-					hisS		FZ025_RS00310	1425		old_locus_tag=FZ025_00310
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	69147	70571	-	WP_046981756.1	WP_046981756.1		histidine--tRNA ligase	hisS		FZ025_RS00310	1425	474	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	70683	71438	+							FZ025_RS00315	756		old_locus_tag=FZ025_00315
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	70683	71438	+	WP_046981757.1	WP_046981757.1		helix-turn-helix domain-containing protein			FZ025_RS00315	756	251	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	71802	72122	+							FZ025_RS00320	321		old_locus_tag=FZ025_00320
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	71802	72122	+	WP_046981758.1	WP_046981758.1		hypothetical protein			FZ025_RS00320	321	106	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	72225	73526	-					thrC		FZ025_RS00325	1302		old_locus_tag=FZ025_00325
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	72225	73526	-	WP_046981759.1	WP_046981759.1		threonine synthase	thrC		FZ025_RS00325	1302	433	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	74616	75584	-							FZ025_RS00330	969		old_locus_tag=FZ025_00335
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	74616	75584	-	WP_046978639.1	WP_046978639.1		homoserine kinase			FZ025_RS00330	969	322	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	75581	78088	-					thrA		FZ025_RS00335	2508		old_locus_tag=FZ025_00340
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	75581	78088	-	WP_046978640.1	WP_046978640.1		bifunctional aspartate kinase/homoserine dehydrogenase I	thrA		FZ025_RS00335	2508	835	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	78548	78859	-							FZ025_RS00340	312		old_locus_tag=FZ025_00345
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	78548	78859	-	WP_046978641.1	WP_046978641.1		hypothetical protein			FZ025_RS00340	312	103	
gene	tRNA	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	79188	79264	-							FZ025_RS00345	77		old_locus_tag=FZ025_00350
tRNA		GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	79188	79264	-				tRNA-Arg			FZ025_RS00345	77		anticodon=CCT
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	79426	80958	+							FZ025_RS00350	1533		old_locus_tag=FZ025_00355
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	79426	80958	+	WP_046978642.1	WP_046978642.1		aldehyde dehydrogenase family protein			FZ025_RS00350	1533	510	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	81016	81297	+							FZ025_RS00355	282		old_locus_tag=FZ025_00360
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	81016	81297	+	WP_046978643.1	WP_046978643.1		DUF4190 domain-containing protein			FZ025_RS00355	282	93	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	81302	82069	+							FZ025_RS00360	768		old_locus_tag=FZ025_00365
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	81302	82069	+	WP_046978644.1	WP_046978644.1		class I SAM-dependent methyltransferase			FZ025_RS00360	768	255	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	82079	83134	+							FZ025_RS00365	1056		old_locus_tag=FZ025_00370
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	82079	83134	+	WP_046978645.1	WP_046978645.1		quinone-dependent dihydroorotate dehydrogenase			FZ025_RS00365	1056	351	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	83131	84171	+					murB		FZ025_RS00370	1041		old_locus_tag=FZ025_00375
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	83131	84171	+	WP_046978652.1	WP_046978652.1		UDP-N-acetylmuramate dehydrogenase	murB		FZ025_RS00370	1041	346	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	84204	85073	+							FZ025_RS00375	870		old_locus_tag=FZ025_00380
CDS	with_protein	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	84204	85073	+	WP_046978653.1	WP_046978653.1		DMT family transporter			FZ025_RS00375	870	289	
gene	protein_coding	GCF_009769165.1	Primary Assembly	chromosome		NZ_CP043476.1	85186	85875	+							FZ025_RS00380	690		old_locus_tag=FZ025_00385
